"DOXY_ADJUSTED is estimated from the last valid cycle with DM adjustment, DOXY_ADJUSTED_ERROR is recomputed from a PPOX_ERROR = 7.7 mbar with an increase of 1mbar/year                                                                                          ",1
"DOXY_ADJUSTED is estimated from the last valid cycle with DM adjustment, DOXY_ADJUSTED_ERROR is recomputed from a PPOX_ERROR = 7.9 mbar with an increase of 1mbar/year                                                                                          ",1
"DOXY_ADJUSTED is estimated from the last valid cycle with DM adjustment, DOXY_ADJUSTED_ERROR is recomputed from a PPOX_ERROR = 8.8 mbar with an increase of 1mbar/year                                                                                          ",1
"DOXY_ADJUSTED is estimated from the last valid cycle with DM adjustment, DOXY_ADJUSTED_ERROR is recomputed from a PPOX_ERROR = 8.9 mbar with an increase of 1mbar/year                                                                                          ",1
"DOXY_ADJUSTED is estimated from the last valid cycle with DM adjustment, DOXY_ADJUSTED_ERROR is recomputed from a PPOX_ERROR = 9.0 mbar with an increase of 1mbar/year                                                                                          ",1
DOXY_QCs are modified during visual check.                                                                                                                                                                                                                      ,33
Data are unadjustable owing to dissolved oxygen sensor problem.                                                                                                                                                                                                 ,17
"G determined by surface measurement comparison to World Ocean Atlas 2009. See Takeshita et al.2013,doi:10.1002/jgrc.20399                                                                                                                                       ",17
"G determined by surface measurement comparison to World Ocean Atlas 2009.See Takeshita et al.2013,doi:10.1002/jgrc.20399                                                                                                                                        ",2
"G determined from float  measurements in air. See Johnson et al.,2015,doi:10.1175/JTECH-D-15-0101.1                                                                                                                                                             ",4
"G determined from float measurements in air. See Johnson et al.,2015,doi:10.1175/JTECH-D-15-0101.1                                                                                                                                                              ",3
G obtained from DOXY audit on 2020-11-20                                                                                                                                                                                                                        ,2
GAIN determined from WOA2013 O2sat along the five initial float cycles                                                                                                                                                                                          ,35
Gain estimated at surface with Monthly WOA2018                                                                                                                                                                                                                  ,2
No DOXY data                                                                                                                                                                                                                                                    ,3
No QC available for DOXY                                                                                                                                                                                                                                        ,34
No adjustment was necessary                                                                                                                                                                                                                                     ,5
No significant oxygen drift detected - Calibration error is manufacturer specified accuracy                                                                                                                                                                     ,13
Not able to perform a correct adjustment                                                                                                                                                                                                                        ,2
Optode issues                                                                                                                                                                                                                                                   ,1
Optode out of order                                                                                                                                                                                                                                             ,2
Oxygen concentration corrected as a linear function of DOXY; Comparison to the reference profile bo16_74 (isobaric match as in Takeshita et al. (2013)) on cycle 2                                                                                              ,1
Oxygen concentration corrected as a linear function of DOXY; Comparison to the reference profile cat12_49 (isobaric match as in Takeshita et al. (2013)) on cycle 1                                                                                             ,1
Oxygen concentration corrected as a linear function of DOXY; Comparison to the reference profile cat12_63 (isobaric match as in Takeshita et al. (2013)) on cycle 1                                                                                             ,1
Oxygen concentration corrected as a linear function of DOXY; Comparison to the reference profile cat12_78 (isobaric match as in Takeshita et al. (2013)) on cycle 1                                                                                             ,1
Oxygen concentration corrected as a linear function of DOXY; Comparison to the reference profile rr15_43 (isobaric match as in Takeshita et al. (2013)) on cycle 104                                                                                            ,1
"Oxygen gain calculated following Johnson et al. 2015, doi:10.1175/JTECH-D-15-0101.1, using comparison between float and WOA data. Adjustment applied by Christopher Gordon (Fisheries and Oceans Canada, orcid: 0000-0002-1756-422X)                            ",1
PPOX adjusted with WOA climatology at surface                                                                                                                                                                                                                   ,1
"PPOX converted from DOXY, PPOX corrected using in air measurements and SAGEO2, DOXY_ADJUSTED_ERROR recomputed from PPOX_ERROR                                                                                                                                   ",1
"PSAL_ADJUSTED_QC=4, for the whole life of the float, no DM is performed for DOXY                                                                                                                                                                                ",1
Partial pressure corrected as a linear function of PPOX using continuous in-air measurements as in Johnson et al (2015) with sageO2                                                                                                                             ,7
"Partial pressure corrected as a linear function of PPOX using continuous in-air measurements as in Johnson et al (2015), PPOX converted from DOXY and DOXY_ADJUSTED converted from PPOX_ADJUSTED, ERROR calculated as 2std(A) x 205mbar + 2mbar                 ",5
"Partial pressure corrected as a linear function of PPOX using in-air measurements as in https://doi.org/10.3389/fmars.2021.683207, PPOX converted from DOXY and DOXY_ADJUSTED converted from PPOX_ADJUSTED, ERROR calculated as 2*std(SLOPE)*205mbar+2mbar      ",12
Percent saturation corrected as a linear function of PSAT modified from Takeshita et al (2013); PSAT converted from DOXY and DOXY_ADJUSTED converted from PSAT_ADJUSTED; oxygen corrected as a linear function of DOXY by comparison to a climatology (CARS09)  ,60
Percent saturation corrected as a linear function of PSAT modified from Takeshita et al (2013); PSAT converted from DOXY and DOXY_ADJUSTED converted from PSAT_ADJUSTED; oxygen corrected as a linear function of DOXY by comparison to a climatology (CARS09)[G,5
Percent saturation corrected as a linear function of PSAT; Comparison to a single reference profile (isobaric match as in Takeshita et al. (2013)) on cycle 0; PSAT converted from DOXY and DOXY_ADJUSTED converted from PSAT_ADJUSTED                          ,13
Percent saturation corrected as a linear function of PSAT; Comparison to a single reference profile (isobaric match as in Takeshita et al. (2013)) on cycle 1; PSAT converted from DOXY and DOXY_ADJUSTED converted from PSAT_ADJUSTED                          ,13
Percent saturation corrected as a linear function of PSAT; Comparison to a single reference profile (isobaric match as in Takeshita et al. (2013)) on cycle 3; PSAT converted from DOXY and DOXY_ADJUSTED converted from PSAT_ADJUSTED                          ,2
Percent saturation corrected as a linear function of PSAT; Comparison to the reference profile bo16_15 (isobaric match as in Takeshita et al. (2013)) on cycle 25; PSAT converted from DOXY and DOXY_ADJUSTED converted from PSAT_ADJUSTED                      ,1
Percent saturation corrected as a linear function of PSAT; Comparison to the reference profile bo16_48 (isobaric match as in Takeshita et al. (2013)) on cycle 1; PSAT converted from DOXY and DOXY_ADJUSTED converted from PSAT_ADJUSTED                       ,1
Percent saturation corrected as a linear function of PSAT; Comparison to the reference profile bo16_62 (isobaric match as in Takeshita et al. (2013)) on cycle 1; PSAT converted from DOXY and DOXY_ADJUSTED converted from PSAT_ADJUSTED                       ,1
Percent saturation corrected as a linear function of PSAT; Comparison to the reference profile geov_21 (isobaric match as in Takeshita et al. (2013)) on cycle 3; PSAT converted from DOXY and DOXY_ADJUSTED converted from PSAT_ADJUSTED                       ,1
Percent saturation corrected as a linear function of PSAT; Comparison to the reference profile geov_29 (isobaric match as in Takeshita et al. (2013)) on cycle 1; PSAT converted from DOXY and DOXY_ADJUSTED converted from PSAT_ADJUSTED                       ,1
Percent saturation corrected as a linear function of PSAT; Comparison to the reference profile rr15_0 (isobaric match as in Takeshita et al. (2013)) on cycle 1; PSAT converted from DOXY and DOXY_ADJUSTED converted from PSAT_ADJUSTED                        ,1
Percent saturation corrected as a linear function of PSAT; Comparison to the reference profile rr15_120 (isobaric match as in Takeshita et al. (2013)) on cycle 1; PSAT converted from DOXY and DOXY_ADJUSTED converted from PSAT_ADJUSTED                      ,3
Percent saturation corrected as a linear function of PSAT; Comparison to the reference profile rr15_23 (isobaric match as in Takeshita et al. (2013)) on cycle 1; PSAT converted from DOXY and DOXY_ADJUSTED converted from PSAT_ADJUSTED                       ,1
Percent saturation corrected as a linear function of PSAT; Comparison to the reference profile rr15_40 (isobaric match as in Takeshita et al. (2013)) on cycle 1; PSAT converted from DOXY and DOXY_ADJUSTED converted from PSAT_ADJUSTED                       ,1
Percent saturation corrected as a linear function of PSAT; Comparison to the reference profile rr17_40 (isobaric match as in Takeshita et al. (2013)) on cycle 1; PSAT converted from DOXY and DOXY_ADJUSTED converted from PSAT_ADJUSTED                       ,1
Percent saturation corrected as a linear function of PSAT; Comparison to the reference profile rr17_6 (isobaric match as in Takeshita et al. (2013)) on cycle 1; PSAT converted from DOXY and DOXY_ADJUSTED converted from PSAT_ADJUSTED                        ,1
Percent saturation corrected as a linear function of PSAT; Comparison to the reference profile rr17_89 (isobaric match as in Takeshita et al. (2013)) on cycle 1; PSAT converted from DOXY and DOXY_ADJUSTED converted from PSAT_ADJUSTED                       ,1
"Polynomial calibration coeficients were used. G determined by surface measurement comparison to World Ocean Atlas 2009.See Takeshita et al.2013,doi:10.1002/jgrc.20399                                                                                          ",186
"Polynomial calibration coeficients were used. G determined by surface measurement comparison to World Ocean Atlas 2009.See Takeshita et al.2013,doi:10.1002/jgrc.20399 PSALproxy used for BGC https://doi.org/10.48670/moi-00052                                ",1
"Polynomial calibration coeficients were used. G determined from float  measurements in air. See Johnson et al.,2015,doi:10.1175/JTECH-D-15-0101.1                                                                                                               ",86
RT adjustment based on extrapolation from previous DMQC adjustment; DOXY adjusted by gain-only factor on DOXY                                                                                                                                                   ,17
RT adjustment by comparison of float surface O2sat to WOA13 surface O2sat; DOXY adjusted by gain-only factor on DOXY                                                                                                                                            ,10
RT adjustment by comparison of float surface O2sat to WOA18 surface O2sat; DOXY adjusted by gain-only factor on DOXY                                                                                                                                            ,17
RT adjustment by comparison of float surface O2sat to WOA2018 surface O2sat using automatically generated gain from MBARI (jplant@mbari.org)                                                                                                                    ,24
"SVU Foil calibration coeficients were used. G determined by surface measurement comparison to World Ocean Atlas 2009.See Takeshita et al.2013,doi:10.1002/jgrc.20399                                                                                            ",44
"SVU Foil calibration coeficients were used. G determined from float  measurements in air. See Johnson et al.,2015,doi:10.1175/JTECH-D-15-0101.1                                                                                                                 ",253
Sensor Issue                                                                                                                                                                                                                                                    ,3
Sensor Issues                                                                                                                                                                                                                                                   ,1
Sensor issue                                                                                                                                                                                                                                                    ,6
"Sensor issue, not able to adjust                                                                                                                                                                                                                                ",1
Sensor issues                                                                                                                                                                                                                                                   ,1
Sensors issues                                                                                                                                                                                                                                                  ,1
"Single point, no adjustment                                                                                                                                                                                                                                     ",1
"Takeshita and all, 2013 based on MONTHLY WOA climatology, optode simple calibration                                                                                                                                                                             ",2
"Takeshita and all, 2013 based on YEARLY WOA climatology, optode simple calibration                                                                                                                                                                              ",1
Unable to estimate correctly a gain on the few good profiles available (sensor issue)                                                                                                                                                                           ,1
adjusted with median of the annual WOA climato at surface                                                                                                                                                                                                       ,2
adjusted with median of the monthly WOA climato at surface                                                                                                                                                                                                      ,5
"adjusted with median of the monthly WOA climato at surface, old APEX converted 3.1                                                                                                                                                                              ",3
"after Bittig et al. (2018) eq. 21, float in-air data vs. ERA5 reanalysis                                                                                                                                                                                        ",1
"after Bittig et al. (2018) eq. 21, float in-air data vs. NCEP reanalysis                                                                                                                                                                                        ",4
"after Bittig et al. (2018) eq. 23, float in-air data vs. NCEP reanalysis                                                                                                                                                                                        ",4
after Bittiing et al (2018) eq 23 no in-air data-compared to WOA                                                                                                                                                                                                ,1
"after Bittin et al (2018) no in air data, compared to WOA                                                                                                                                                                                                       ",1
"after Bitting at al (2018) eq. 23, no in air data, WOD used                                                                                                                                                                                                     ",1
"after Bitting at all (2018) eq.32, no in air data, WOD used                                                                                                                                                                                                     ",1
"after Bitting et al (2018) eq 23 No in air data available, compared with WOA                                                                                                                                                                                    ",1
"after Bitting et al (2018) eq 23, float with no in air data, compared to WOA                                                                                                                                                                                    ",1
after Bitting et al. (2018) eq 23 float with no in air data compared to WOA                                                                                                                                                                                     ,2
"after Bitting et al. (2018) eq 23 no in air data, compared to WOA                                                                                                                                                                                               ",1
"after Bitting et al. (2018) eq 23, no in air data available vs WOA                                                                                                                                                                                              ",1
after Bitting et al. (2018) float with no in air data vs WOD data                                                                                                                                                                                               ,1
after Bitting et al.(2018) eq 23 float with no in air compared with WOD                                                                                                                                                                                         ,1
after bitting et al. (2018) eq 23 no in air data compared to WOD                                                                                                                                                                                                ,1
bad data                                                                                                                                                                                                                                                        ,1
by Henry Bittig; ORCID 0000-0002-8621-3095; after Bittig et al. (2018) eq. 21 slope on PPOX_DOXY with linear time trend in slope; Using in-air obs; No time response correction done; error gives 1 sigma                                                       ,1
by Henry Bittig; ORCID 0000-0002-8621-3095; after Bittig et al. (2018) eq. 21 slope on PPOX_DOXY; Using in-air obs; No time response correction done; error gives 1 sigma                                                                                       ,5
by Henry Bittig; ORCID 0000-0002-8621-3095; after Bittig et al. (2018) eq. 23 T-dependent slope on PPOX_DOXY with linear time trend in slope; Using in-air obs; No time response correction done; error gives 1 sigma                                           ,7
by Henry Bittig; ORCID 0000-0002-8621-3095; after Bittig et al. (2018) eq. 23 T-dependent slope on PPOX_DOXY; Using in-air obs; No time response correction done; error gives 1 sigma                                                                           ,5
"by Henry Bittig; ORCID iD 0000-0002-8621-3095; Johnson et al. (2015) average gain (unfiltered) on PPOX_DOXY; Using in-air obs; time response correction (Bittig et al., 2018) with lL scale factor 0.60; error gives 95 % CI                                    ",1
"by Henry Bittig; ORCID iD 0000-0002-8621-3095; Johnson et al. (2015) average gain (unfiltered) on PPOX_DOXY; Using in-air obs; time response correction (Bittig et al., 2018) with lL scale factor 0.65; error gives 95 % CI                                    ",1
"by Henry Bittig; ORCID iD 0000-0002-8621-3095; Johnson et al. (2015) average gain (unfiltered) on PPOX_DOXY; Using in-air obs; time response correction (Bittig et al., 2018) with lL scale factor 0.70; error gives 95 % CI                                    ",3
"by Henry Bittig; ORCID iD 0000-0002-8621-3095; Johnson et al. (2015) average gain (unfiltered) on PPOX_DOXY; Using in-air obs; time response correction (Bittig et al., 2018) with lL scale factor 0.75; error gives 95 % CI                                    ",6
n/a                                                                                                                                                                                                                                                             ,7
no adjustment is performed because of issues in CTD                                                                                                                                                                                                             ,51
none                                                                                                                                                                                                                                                            ,72
not applicable                                                                                                                                                                                                                                                  ,13
"optode multi calibration, adjusted with median of the annual WOA climato at surface                                                                                                                                                                             ",36
"optode multi calibration, adjusted with median of the monthly WOA climato at surface                                                                                                                                                                            ",26
"optode multi calibration, adjusted with median of the monthly WOA climato at surface + drift ajustement                                                                                                                                                         ",3
"optode multi calibration, adjusted with median of the yearly WOA climato at surface + drift ajustement                                                                                                                                                          ",1
"optode simple calibration, adjusted with CTD at deployment                                                                                                                                                                                                      ",1
